K,P,MIN,R
5782,0.809,1208,11
5961,0.809,1129,10
5717,0.809,1273,11
5604,0.809,1286,12
6053,0.809,1237,8
5661,0.809,1229,12
5662,0.809,1228,12
5801,0.809,1289,10
5975,0.809,1215,9
5758,0.809,1232,11
5829,0.809,1261,10
6050,0.809,1240,8
5941,0.809,1249,9
6111,0.809,1179,8
5993,0.809,1197,9
5817,0.809,1273,10
5958,0.809,1232,9
5835,0.809,1255,10
6000,0.809,1190,9
5849,0.809,1241,10
6048,0.809,1142,9
6141,0.809,1149,8
6002,0.809,1188,9
5813,0.809,1277,10
5926,0.809,1264,9
5979,0.809,1211,9
5867,0.809,1223,10
5989,0.809,1201,9
6095,0.809,1195,8
5883,0.809,1207,10
5746,0.809,1244,11
5963,0.809,1227,9
5975,0.809,1215,9
6050,0.809,1140,9
6019,0.809,1171,9
5799,0.809,1191,11
6076,0.809,1114,9
5833,0.809,1257,10
5719,0.809,1271,11
5854,0.809,1236,10
5891,0.809,1199,10
5901,0.809,1189,10
5992,0.809,1198,9
6059,0.809,1231,8
5864,0.809,1326,9
5908,0.809,1182,10
5631,0.809,1259,12
5863,0.809,1227,10
5642,0.809,1348,11
6102,0.809,1188,8
6087,0.809,1203,8
5970,0.809,1220,9
5744,0.809,1346,10
6060,0.809,1130,9
6038,0.809,1252,8
6054,0.809,1236,8
5845,0.809,1245,10
5881,0.809,1209,10
6091,0.809,1199,8
5720,0.809,1270,11
5878,0.809,1212,10
5782,0.809,1208,11
6006,0.809,1184,9
6078,0.809,1212,8
5675,0.809,1315,11
5936,0.809,1254,9
5971,0.809,1219,9
5938,0.809,1252,9
5757,0.809,1333,10
6069,0.809,1221,8
6023,0.809,1167,9
5836,0.809,1254,10
5709,0.809,1281,11
5857,0.809,1233,10
5912,0.809,1178,10
5863,0.809,1327,9
5879,0.809,1211,10
5910,0.809,1180,10
5921,0.809,1269,9
6105,0.809,1185,8
5738,0.809,1252,11
5710,0.809,1280,11
5834,0.809,1256,10
5907,0.809,1283,9
6062,0.809,1228,8
6035,0.809,1255,8
5961,0.809,1229,9
5995,0.809,1195,9
6095,0.809,1195,8
5855,0.809,1235,10
5918,0.809,1172,10
5930,0.809,1260,9
5763,0.809,1227,11
5727,0.809,1263,11
6006,0.809,1184,9
6024,0.809,1166,9
5880,0.809,1210,10
5782,0.809,1308,10
5893,0.809,1297,9
6124,0.809,1166,8
