result_num,MIN,R,P,K
0,2995,19,1,5105
1,3071,19,1,5029
2,3113,19,1,4987
3,3106,19,1,4994
4,3332,20,1,4668
5,3050,18,1,5150
6,3169,19,1,4931
7,3284,20,1,4716
8,3175,19,1,4925
9,2623,16,1,5777
10,3167,19,1,4933
11,2938,18,1,5262
12,2603,16,1,5797
13,3318,20,1,4682
14,3309,20,1,4691
15,3169,19,1,4931
16,3392,20,1,4608
17,3331,20,1,4669
18,3356,20,1,4644
19,3349,20,1,4651
20,2914,18,1,5286
21,3202,19,1,4898
22,3094,19,1,5006
23,3244,19,1,4856
24,3290,20,1,4710
25,3384,20,1,4616
26,3170,19,1,4930
27,2988,18,1,5212
28,2855,17,1,5445
29,3143,19,1,4957
30,3415,20,1,4585
31,3035,18,1,5165
32,2614,16,1,5786
33,3334,20,1,4666
34,3187,19,1,4913
35,3219,19,1,4881
36,2986,18,1,5214
37,2764,17,1,5536
38,3170,19,1,4930
39,3194,19,1,4906
40,3253,20,1,4747
41,3328,20,1,4672
42,2865,18,1,5335
43,3042,18,1,5158
44,3300,20,1,4700
45,2951,18,1,5249
46,3133,19,1,4967
47,2924,18,1,5276
48,3366,20,1,4634
49,3191,19,1,4909
